Pager usage is off.
Timing is on.
 l_orderkey |   revenue   | o_orderdate | o_shippriority 
    3469990 | 294484.3476 | 1995-03-12  |              0
    4164994 | 294164.3956 | 1995-03-01  |              0
    4187264 | 293884.1340 | 1995-01-27  |              0
    2743844 | 293431.5915 | 1995-03-04  |              0
    2282054 | 292793.0269 | 1995-02-17  |              0
    3866279 | 292304.9562 | 1995-02-15  |              0
    4460578 | 292275.3337 | 1995-03-14  |              0
    3887173 | 292150.0343 | 1995-03-08  |              0
     771396 | 291656.6906 | 1995-01-30  |              0
    1478115 | 291611.7639 | 1995-02-05  |              0
     654400 | 291494.3238 | 1995-02-28  |              0
     783522 | 291359.4006 | 1995-02-28  |              0
    4093925 | 291134.9709 | 1995-03-10  |              0
     132774 | 291101.5012 | 1995-02-27  |              0
    5742880 | 290300.2207 | 1995-03-11  |              0
     834758 | 290157.9872 | 1995-02-15  |              0
    3686211 | 289846.0523 | 1995-03-02  |              0
    1019200 | 289795.7190 | 1995-03-12  |              0
     980484 | 289655.2016 | 1995-01-16  |              0
     429506 | 289544.8172 | 1995-02-02  |              0
    5206948 | 288720.4022 | 1995-03-14  |              0
    5423746 | 288680.6503 | 1995-03-09  |              0
    4577507 | 288512.6127 | 1995-03-03  |              0
    4929858 | 287901.2938 | 1995-03-02  |              0
    1223490 | 287800.8228 | 1995-03-13  |              0
    1566307 | 287773.9777 | 1995-03-07  |              0
    5105793 | 287589.6821 | 1995-03-05  |              0
    5775234 | 287435.1773 | 1995-03-07  |              0
    3731557 | 286645.7289 | 1995-02-28  |              0
    3329894 | 286565.9808 | 1995-03-13  |              0
    1405573 | 286527.0594 | 1995-02-09  |              0
    2505123 | 286450.5901 | 1995-01-20  |              0
    3146982 | 286368.2301 | 1995-03-02  |              0
    1422343 | 286227.6715 | 1995-02-03  |              0
    5782213 | 286179.3307 | 1995-02-24  |              0
    1173478 | 286107.2256 | 1995-02-21  |              0
    2074628 | 285940.1312 | 1995-03-07  |              0
    4273255 | 285933.7691 | 1995-03-09  |              0
    3555392 | 285860.8075 | 1995-03-08  |              0
     992583 | 285724.2142 | 1995-02-09  |              0
    1899748 | 284810.2950 | 1995-02-26  |              0
    4898983 | 284622.8368 | 1995-01-30  |              0
    3862048 | 284487.4132 | 1995-02-28  |              0
     738627 | 284276.5326 | 1995-03-14  |              0
    4860007 | 284253.2668 | 1995-03-13  |              0
     250530 | 283997.5896 | 1995-03-10  |              0
    2546112 | 283920.3980 | 1995-03-14  |              0
    3298275 | 283432.2269 | 1995-01-19  |              0
    1510918 | 282989.7372 | 1995-03-10  |              0
    3732263 | 282703.9621 | 1995-03-03  |              0
    1966019 | 282490.8082 | 1995-02-27  |              0
    1919970 | 282367.0435 | 1995-03-01  |              0
    4640611 | 282335.5518 | 1995-03-14  |              0
     287552 | 282272.8169 | 1995-02-28  |              0
    4515846 | 282216.9303 | 1995-02-18  |              0
    2758273 | 282180.8075 | 1995-02-26  |              0
     265796 | 282148.4351 | 1995-02-24  |              0
    4110148 | 281808.7774 | 1995-03-02  |              0
    2599461 | 281471.0488 | 1995-01-31  |              0
    1295138 | 281469.3775 | 1995-03-07  |              0
    3283687 | 281049.9514 | 1995-02-19  |              0
    1668388 | 280820.8280 | 1995-01-09  |              0
    4957286 | 280813.1096 | 1995-03-10  |              0
    2254055 | 280648.9618 | 1995-02-01  |              0
    2873955 | 280471.4674 | 1995-02-18  |              0
    4816839 | 280439.5289 | 1995-01-29  |              0
    4044166 | 280261.6479 | 1995-02-08  |              0
    1500640 | 280220.8664 | 1995-03-13  |              0
    5587686 | 279768.6180 | 1995-03-07  |              0
    2666118 | 279757.5323 | 1995-03-12  |              0
    3736864 | 279724.9856 | 1995-02-21  |              0
    3421764 | 279555.5478 | 1995-01-14  |              0
    1187457 | 279287.3862 | 1995-03-11  |              0
    5910081 | 279185.2462 | 1995-02-26  |              0
    5644551 | 279105.0964 | 1995-02-25  |              0
    2542215 | 278628.2628 | 1995-02-26  |              0
      50145 | 278324.8728 | 1995-02-27  |              0
    1268930 | 278276.7491 | 1995-03-08  |              0
     761059 | 278207.9602 | 1995-03-14  |              0
    5481442 | 278128.0398 | 1995-03-12  |              0
    5658148 | 277926.9430 | 1995-02-27  |              0
    2023911 | 277690.9912 | 1995-03-11  |              0
     539623 | 277297.9982 | 1995-02-20  |              0
    2548260 | 277164.0527 | 1995-02-15  |              0
    3766402 | 277106.7442 | 1995-03-10  |              0
    5386596 | 276910.0506 | 1995-03-06  |              0
    5252897 | 276826.9731 | 1995-02-24  |              0
    2644067 | 276640.6760 | 1995-03-04  |              0
    4042950 | 276388.5434 | 1995-03-03  |              0
    1244295 | 276055.8707 | 1995-02-03  |              0
    3205667 | 275621.0444 | 1995-02-22  |              0
    1927808 | 275552.6598 | 1995-02-24  |              0
      94432 | 275486.5880 | 1995-01-19  |              0
    3549474 | 275414.0738 | 1994-12-24  |              0
    1218788 | 275387.9250 | 1995-03-08  |              0
    2051136 | 275116.0107 | 1995-03-08  |              0
    1871008 | 275079.2374 | 1995-01-22  |              0
    1157382 | 274637.9062 | 1995-03-02  |              0
    3587623 | 274225.1274 | 1995-02-20  |              0
    1609059 | 274212.4348 | 1995-02-21  |              0
     553731 | 274195.7674 | 1995-02-15  |              0
    2709571 | 273687.3832 | 1994-12-10  |              0
    1786272 | 273640.1921 | 1995-02-08  |              0
    4142853 | 273617.7215 | 1995-02-16  |              0
    3612322 | 273575.2693 | 1994-12-27  |              0
    4421860 | 273565.7580 | 1995-02-27  |              0
    2974694 | 273386.3464 | 1995-03-14  |              0
      47525 | 273370.8953 | 1995-03-04  |              0
    2677248 | 273330.8767 | 1995-03-13  |              0
    1074752 | 273277.6458 | 1995-02-02  |              0
    1162147 | 272872.2968 | 1995-03-03  |              0
    4258912 | 272603.0196 | 1995-02-23  |              0
    4841733 | 272455.8524 | 1995-01-29  |              0
    5807460 | 272259.2120 | 1994-12-22  |              0
     213314 | 272195.9848 | 1995-02-05  |              0
    4200932 | 272125.3024 | 1995-03-03  |              0
    3343776 | 272105.9586 | 1995-03-14  |              0
     597699 | 271975.5294 | 1995-02-01  |              0
    1334496 | 271914.2252 | 1995-02-24  |              0
    5419715 | 271744.1996 | 1995-03-07  |              0
    5738343 | 270598.7876 | 1995-01-19  |              0
    5881890 | 270532.7378 | 1995-02-15  |              0
      97830 | 270217.0762 | 1995-03-04  |              0
     431106 | 270154.6946 | 1995-02-23  |              0
    2643618 | 270131.8487 | 1995-03-10  |              0
     108421 | 270064.0758 | 1995-01-30  |              0
    3702215 | 269719.2196 | 1995-01-25  |              0
    5780518 | 269500.8620 | 1995-01-03  |              0
    1073859 | 269484.1761 | 1995-03-09  |              0
    4711269 | 269326.7776 | 1995-03-11  |              0
      46115 | 269115.8951 | 1995-03-03  |              0
    1883879 | 268978.0741 | 1994-12-30  |              0
    5122532 | 268923.6256 | 1995-02-24  |              0
    2135110 | 268888.0345 | 1995-03-07  |              0
    3127076 | 268869.8857 | 1995-03-13  |              0
     755745 | 268863.7328 | 1995-02-22  |              0
       1637 | 268170.6408 | 1995-02-08  |              0
    5290240 | 267961.8466 | 1995-02-22  |              0
    3411973 | 267770.3132 | 1995-03-13  |              0
    1408578 | 267751.6084 | 1995-02-07  |              0
    2404449 | 267687.7341 | 1995-03-10  |              0
     988226 | 267681.0166 | 1995-02-01  |              0
    2958049 | 267579.7318 | 1995-02-20  |              0
    3054020 | 267530.5812 | 1995-01-13  |              0
    2142787 | 267473.6808 | 1995-02-26  |              0
     662340 | 267322.8948 | 1995-02-26  |              0
    1174050 | 267275.4620 | 1995-01-31  |              0
     800033 | 267217.3479 | 1995-01-31  |              0
    4575140 | 266925.6314 | 1994-12-26  |              0
      98279 | 266789.3461 | 1995-03-09  |              0
    4208644 | 266743.4112 | 1995-02-05  |              0
    2136006 | 266576.9473 | 1995-02-14  |              0
    2507781 | 266403.3942 | 1995-02-11  |              0
    2393793 | 266188.2644 | 1995-03-09  |              0
    2806278 | 266051.0237 | 1995-02-26  |              0
    1635653 | 265897.4332 | 1995-02-14  |              0
    5084260 | 265895.4916 | 1995-01-29  |              0
    5717728 | 265746.5533 | 1995-03-08  |              0
    5556450 | 265432.2986 | 1995-02-27  |              0
    2284672 | 265320.6928 | 1995-03-14  |              0
    3640386 | 265189.4243 | 1995-02-05  |              0
    1162563 | 265107.1388 | 1995-02-15  |              0
     165732 | 264712.2348 | 1995-03-11  |              0
    4651745 | 264661.7292 | 1995-03-08  |              0
    5682950 | 264633.1213 | 1995-03-05  |              0
    4858147 | 264620.8368 | 1995-03-13  |              0
    4766118 | 264360.9612 | 1995-02-10  |              0
     220834 | 264297.6811 | 1995-02-27  |              0
    5785893 | 263708.4871 | 1995-03-13  |              0
    1929699 | 263499.6033 | 1995-03-09  |              0
    2017793 | 263232.2020 | 1995-02-01  |              0
    2376358 | 263219.3754 | 1995-02-18  |              0
    1402247 | 263153.9982 | 1995-03-03  |              0
     118151 | 263036.9984 | 1995-02-23  |              0
    5935588 | 263023.7652 | 1995-01-30  |              0
    3282660 | 262892.0086 | 1995-02-28  |              0
    4956800 | 262865.7162 | 1995-02-10  |              0
    3940163 | 262849.5048 | 1995-02-26  |              0
    3978503 | 262757.7448 | 1995-02-09  |              0
    5882310 | 262686.3812 | 1995-03-14  |              0
    1474848 | 262524.5748 | 1995-03-12  |              0
    2440324 | 262358.6826 | 1995-03-02  |              0
    4231170 | 262172.8387 | 1995-02-22  |              0
    3889248 | 262056.9238 | 1995-02-28  |              0
      80549 | 261961.4762 | 1995-01-23  |              0
     874947 | 261861.6352 | 1995-02-11  |              0
     800578 | 261674.4246 | 1995-02-27  |              0
    5783809 | 261649.0987 | 1995-02-01  |              0
    3823045 | 261624.0573 | 1995-03-05  |              0
     283364 | 261547.5207 | 1995-02-23  |              0
    1612929 | 261463.8575 | 1995-01-22  |              0
     299014 | 261195.4376 | 1995-03-04  |              0
      93671 | 261152.2102 | 1995-03-03  |              0
    3379364 | 261138.2945 | 1995-01-20  |              0
    5216199 | 261062.7576 | 1995-02-24  |              0
    2978438 | 261060.5059 | 1995-03-10  |              0
    1865089 | 261042.2898 | 1995-02-27  |              0
    3528001 | 261027.0798 | 1995-02-24  |              0
    1197607 | 261019.0009 | 1995-03-04  |              0
    2917795 | 260768.5109 | 1995-02-28  |              0
     775847 | 260746.0478 | 1995-01-25  |              0
    4420802 | 260648.9333 | 1995-02-05  |              0
    1878628 | 260272.3213 | 1995-03-05  |              0
    1741028 | 260194.6300 | 1995-03-14  |              0
    2097025 | 260092.7543 | 1995-02-28  |              0
    3425510 | 259928.1913 | 1995-03-10  |              0
    3676707 | 259872.9641 | 1995-02-05  |              0
    4541217 | 259375.0148 | 1995-02-16  |              0
    4684353 | 258994.5875 | 1995-02-27  |              0
     166757 | 258693.8180 | 1995-02-28  |              0
    4925223 | 258321.3590 | 1995-02-22  |              0
    1752642 | 258287.1672 | 1995-02-20  |              0
    1214981 | 258229.9143 | 1994-12-31  |              0
     859237 | 258145.3451 | 1995-02-13  |              0
    2688102 | 258102.1852 | 1995-02-08  |              0
    5316610 | 258069.2079 | 1995-03-12  |              0
    4176454 | 257955.3912 | 1995-03-13  |              0
    5667684 | 257952.6268 | 1995-01-31  |              0
    5156999 | 257694.7586 | 1995-03-01  |              0
    1777986 | 257648.8916 | 1995-02-23  |              0
    5314147 | 257558.2622 | 1995-02-25  |              0
    4703399 | 257339.9467 | 1995-02-15  |              0
     187427 | 257236.5230 | 1995-03-05  |              0
    5659045 | 257129.3446 | 1995-03-11  |              0
    1919462 | 256982.2911 | 1995-02-19  |              0
    1314567 | 256858.2795 | 1995-02-09  |              0
     587808 | 256816.7252 | 1995-02-10  |              0
     647234 | 256606.3057 | 1995-02-05  |              0
    1070694 | 256582.0285 | 1995-03-09  |              0
    1728355 | 256540.2365 | 1995-01-20  |              0
     922179 | 256535.8413 | 1995-03-08  |              0
    3202176 | 256159.2540 | 1995-03-13  |              0
    2918466 | 256154.9399 | 1995-01-31  |              0
     442627 | 255896.4629 | 1995-03-06  |              0
    3292263 | 255713.7529 | 1995-02-25  |              0
    2578467 | 255507.9354 | 1995-03-13  |              0
    4905699 | 255469.3326 | 1995-02-26  |              0
    2258208 | 255412.0494 | 1995-01-28  |              0
     295360 | 255278.2530 | 1995-02-25  |              0
    4115200 | 255254.8263 | 1995-02-28  |              0
    5654468 | 255052.8663 | 1995-03-08  |              0
    1601410 | 254977.2877 | 1995-02-26  |              0
    1189703 | 254727.3814 | 1995-03-09  |              0
    2184677 | 254452.3700 | 1995-03-06  |              0
    5594181 | 254402.2756 | 1995-02-16  |              0
    2083271 | 254264.9650 | 1995-02-26  |              0
    4990337 | 254093.7234 | 1995-01-23  |              0
    1111526 | 254057.4048 | 1995-01-31  |              0
    5941124 | 254030.1304 | 1995-03-12  |              0
    3024609 | 253963.5312 | 1995-03-10  |              0
    3775684 | 253944.2652 | 1995-02-11  |              0
    4369505 | 253869.7054 | 1995-02-14  |              0
    1444418 | 253758.9625 | 1995-02-10  |              0
    5874595 | 253719.3126 | 1995-03-07  |              0
    1039200 | 253668.0891 | 1995-03-08  |              0
    3708739 | 253398.1664 | 1995-02-24  |              0
      94113 | 253351.8948 | 1995-03-11  |              0
     155078 | 253319.6024 | 1995-02-07  |              0
    3585766 | 253220.2865 | 1995-01-25  |              0
    3422240 | 252805.0009 | 1995-02-28  |              0
    1288418 | 252647.8181 | 1995-02-11  |              0
    3561092 | 252592.0241 | 1995-01-05  |              0
    2010021 | 252521.3808 | 1995-02-17  |              0
    4707363 | 252477.3720 | 1995-01-19  |              0
    5683846 | 252358.3420 | 1995-02-14  |              0
    1665924 | 252330.2061 | 1995-03-09  |              0
     325444 | 252320.2908 | 1995-02-24  |              0
    2357312 | 252192.1241 | 1995-03-09  |              0
       9696 | 252014.5497 | 1995-02-20  |              0
     987175 | 251821.0311 | 1995-02-14  |              0
     842820 | 251673.5910 | 1995-01-21  |              0
    5812608 | 251652.7105 | 1995-02-20  |              0
    1077281 | 251600.0245 | 1995-02-20  |              0
    4444610 | 251581.1330 | 1995-02-01  |              0
    3471298 | 251346.0299 | 1995-02-10  |              0
    2775716 | 251322.6544 | 1995-01-30  |              0
    3917859 | 250959.0498 | 1995-03-07  |              0
    1294563 | 250957.3846 | 1995-02-06  |              0
    1447879 | 250755.7153 | 1995-01-30  |              0
    2613473 | 250748.9574 | 1995-02-17  |              0
    5101958 | 250476.3697 | 1995-02-20  |              0
    5302979 | 250393.6944 | 1995-01-23  |              0
    2604101 | 250314.5096 | 1995-02-06  |              0
    1602758 | 250300.5001 | 1995-02-10  |              0
    3370759 | 250269.0790 | 1995-02-26  |              0
    3187106 | 250238.8864 | 1995-03-11  |              0
    1546020 | 250168.8684 | 1995-02-20  |              0
    5781634 | 250016.3036 | 1995-01-14  |              0
    4127300 | 249970.0402 | 1995-01-31  |              0
    4893383 | 249637.9027 | 1995-02-06  |              0
    2026912 | 249465.4900 | 1995-01-03  |              0
    3956899 | 249461.5322 | 1995-02-18  |              0
    2409381 | 249271.6847 | 1995-01-18  |              0
    5812005 | 249232.2710 | 1995-01-22  |              0
    1386055 | 249231.7819 | 1995-02-23  |              0
    3214051 | 249135.0995 | 1995-02-22  |              0
    4392739 | 249078.3331 | 1995-02-17  |              0
    2524006 | 249028.6286 | 1995-02-20  |              0
    2049219 | 248553.9640 | 1995-02-08  |              0
    3690496 | 248516.7214 | 1995-01-28  |              0
     680549 | 248415.6303 | 1994-12-25  |              0
    4420645 | 248397.2816 | 1995-02-25  |              0
     645606 | 248389.1568 | 1995-02-18  |              0
    4663104 | 248227.2308 | 1995-01-07  |              0
    4860327 | 247840.0646 | 1995-02-22  |              0
    1169669 | 247806.1627 | 1995-01-29  |              0
    5130945 | 247794.4262 | 1995-01-21  |              0
    3944455 | 247602.3046 | 1995-02-10  |              0
    4487652 | 247516.7076 | 1995-02-22  |              0
    1202374 | 247200.2901 | 1995-01-29  |              0
    3222433 | 247008.6497 | 1995-03-10  |              0
    5225061 | 246964.2354 | 1995-01-31  |              0
    1676260 | 246886.9053 | 1995-02-27  |              0
    3124167 | 246835.1149 | 1995-03-06  |              0
    4203942 | 246477.8004 | 1995-02-03  |              0
    1216293 | 246214.0090 | 1995-02-04  |              0
    5116004 | 245978.7924 | 1995-01-07  |              0
    3900420 | 245811.3820 | 1995-03-02  |              0
    2168225 | 245769.0531 | 1995-02-02  |              0
    3699175 | 245376.5953 | 1995-02-23  |              0
    3587046 | 245067.2603 | 1995-01-14  |              0
    2327364 | 244910.3817 | 1994-12-27  |              0
    4838690 | 244736.6630 | 1995-03-14  |              0
    2143879 | 244725.1997 | 1995-03-07  |              0
     625062 | 244554.1157 | 1995-03-03  |              0
    2675876 | 244553.7059 | 1995-02-19  |              0
    3934694 | 244460.8721 | 1995-01-31  |              0
    4290055 | 244400.7708 | 1995-02-13  |              0
    3695556 | 244323.4552 | 1995-02-06  |              0
    4748868 | 244199.1791 | 1995-02-05  |              0
    2453156 | 244164.6018 | 1995-03-13  |              0
    5323205 | 244120.9398 | 1995-02-01  |              0
    4487427 | 244034.3465 | 1995-03-04  |              0
    4762789 | 243901.8233 | 1995-03-10  |              0
    5541572 | 243850.2490 | 1995-01-31  |              0
    5730566 | 243816.0484 | 1995-03-03  |              0
    2927041 | 243720.2819 | 1995-01-31  |              0
    4890279 | 243482.9773 | 1995-02-27  |              0
    1057863 | 243386.3217 | 1995-02-08  |              0
     617315 | 243355.2275 | 1995-03-14  |              0
    2457701 | 243282.0756 | 1995-03-13  |              0
    4226051 | 243191.0496 | 1995-02-18  |              0
    5157221 | 242891.6136 | 1995-03-02  |              0
    2594437 | 242853.2065 | 1995-03-08  |              0
    4123009 | 242758.6856 | 1995-02-01  |              0
    3383749 | 242638.9622 | 1995-01-06  |              0
    1593251 | 242409.6248 | 1995-02-14  |              0
    1139429 | 242392.1572 | 1995-01-27  |              0
    1324739 | 242353.1798 | 1995-02-16  |              0
    1555463 | 242334.5680 | 1995-03-08  |              0
     374308 | 242214.5712 | 1995-03-12  |              0
    2300645 | 242181.1027 | 1995-03-07  |              0
    1824388 | 242091.6069 | 1995-02-08  |              0
    3413251 | 241989.7350 | 1995-02-09  |              0
    5547458 | 241630.5580 | 1995-02-06  |              0
    2129029 | 241597.7826 | 1995-02-11  |              0
    1710564 | 241581.5443 | 1995-02-16  |              0
    3705571 | 241526.3758 | 1995-03-12  |              0
    2124163 | 241438.0570 | 1995-02-19  |              0
    3825446 | 241273.2827 | 1995-03-10  |              0
    3008577 | 241090.7373 | 1995-02-24  |              0
     439618 | 241087.5563 | 1995-03-08  |              0
    1087077 | 241062.8382 | 1995-02-18  |              0
     846496 | 240953.7861 | 1995-03-12  |              0
    3679814 | 240897.5688 | 1995-01-12  |              0
    1039812 | 240758.9133 | 1995-02-13  |              0
    4383171 | 240754.2250 | 1995-02-20  |              0
    1168832 | 240688.2551 | 1995-03-05  |              0
    1229569 | 240653.5922 | 1995-01-09  |              0
    5663877 | 240588.5020 | 1995-02-04  |              0
    5938114 | 240582.0940 | 1995-03-11  |              0
    4090215 | 240440.4787 | 1995-03-12  |              0
    3309538 | 240189.6213 | 1995-02-01  |              0
    4701924 | 240189.0679 | 1995-02-23  |              0
    5905286 | 240149.2182 | 1995-02-23  |              0
    3800226 | 240123.0048 | 1995-01-18  |              0
    2375360 | 240027.0578 | 1995-01-31  |              0
    3746976 | 239980.8570 | 1995-01-28  |              0
    5437027 | 239700.2714 | 1995-03-11  |              0
     351329 | 239374.3311 | 1995-02-25  |              0
    4126693 | 239283.6904 | 1995-02-24  |              0
    2482208 | 239250.9110 | 1995-03-13  |              0
     579460 | 239225.1359 | 1995-02-12  |              0
    4834533 | 239125.6384 | 1994-12-09  |              0
    2895204 | 239095.6269 | 1995-02-25  |              0
    5787364 | 238831.3176 | 1995-02-22  |              0
     426723 | 238777.5565 | 1995-01-08  |              0
    2444198 | 238719.4312 | 1995-03-08  |              0
     361954 | 238668.6287 | 1995-02-27  |              0
     210565 | 238607.3160 | 1995-02-13  |              0
    3113735 | 238574.4170 | 1995-02-23  |              0
    1722050 | 238529.0613 | 1995-02-03  |              0
    5969444 | 238525.5437 | 1995-02-07  |              0
    4717441 | 238499.9218 | 1995-01-22  |              0
    5173315 | 238492.1878 | 1995-01-21  |              0
     148161 | 238199.0344 | 1995-02-01  |              0
